S00GBI | mature_neutrophil | WTSI | H3K4me3 looks like H3K4me1
S00G9M | mature_neutrophil | WTSI | H3K4me3 looks like H3K4me1
S00DP2 | mature_neutrophil | WTSI | H3K4me3 looks like H3K4me1
S00DKC | mature_neutrophil | WTSI | H3K4me3 looks like H3K4me1
S00D9Y | mature_neutrophil | WTSI | H3K4me3 looks like H3K4me1
S00GEC | mature_neutrophil | WTSI | H3K4me3 looks like H3K27ac
S00F9Q | mature_neutrophil | WTSI | H3K4me3 looks like H3K27ac
S00E9U | mature_neutrophil | WTSI | H3K4me3 looks like H3K27ac
S00DQ0 | mature_neutrophil | WTSI | H3K4me3 looks like H3K27ac
S00G7Q | mature_neutrophil | WTSI | H3K4me3 looks like H3K27me3
S00G5U | mature_neutrophil | WTSI | H3K4me3 looks like H3K27me3
S00FVJ | mature_neutrophil | WTSI | H3K4me3 looks like H3K27me3
