	View 	Donor 	Sample 	Track Name 	Species 	Consortium
	signal	C0011I	ERS150389	bpHistoneModsC0011IH2H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0011I	ERS150389	bpHistoneModsC0011IH2H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0011I	ERS150389	bpHistoneModsC0011IH2H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0011I	ERS150389	bpHistoneModsC0011IH2H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0011I	ERS150389	bpHistoneModsC0011IH2H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0011I	ERS150389	bpHistoneModsC0011IH2InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00184	ERS164468	bpHistoneModsC00184H2H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00184	ERS164468	bpHistoneModsC00184H2H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00184	ERS164468	bpHistoneModsC00184H2H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00184	ERS164468	bpHistoneModsC00184H2H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00184	ERS164468	bpHistoneModsC00184H2H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00184	ERS164468	bpHistoneModsC00184H2H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00184	ERS164468	bpHistoneModsC00184H2InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C001UY	ERS150411	bpHistoneModsC001UYH1H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C001UY	ERS150411	bpHistoneModsC001UYH1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C001UY	ERS150411	bpHistoneModsC001UYH1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C001UY	ERS150411	bpHistoneModsC001UYH1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C001UY	ERS150411	bpHistoneModsC001UYH1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C001UY	ERS150411	bpHistoneModsC001UYH1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C001UY	ERS150411	bpHistoneModsC001UYH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C001UY	ERS150413	bpHistoneModsC001UYH2H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C001UY	ERS150413	bpHistoneModsC001UYH2H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C001UY	ERS150413	bpHistoneModsC001UYH2H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C001UY	ERS150413	bpHistoneModsC001UYH2H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C001UY	ERS150413	bpHistoneModsC001UYH2H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C001UY	ERS150413	bpHistoneModsC001UYH2InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00264	ERS158623	bpHistoneModsC00264H1H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00264	ERS158623	bpHistoneModsC00264H1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00264	ERS158623	bpHistoneModsC00264H1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00264	ERS158623	bpHistoneModsC00264H1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00264	ERS158623	bpHistoneModsC00264H1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00264	ERS158623	bpHistoneModsC00264H1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00264	ERS158623	bpHistoneModsC00264H1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00280	ERS158622	bpHistoneModsC00280H2H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00280	ERS158622	bpHistoneModsC00280H2InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002AX	ERS158628	bpHistoneModsC002AXH1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002AX	ERS158628	bpHistoneModsC002AXH1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002AX	ERS158628	bpHistoneModsC002AXH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002Q1	ERS164472	bpHistoneModsC002Q1H1H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002Q1	ERS164472	bpHistoneModsC002Q1H1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002Q1	ERS164472	bpHistoneModsC002Q1H1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002Q1	ERS164472	bpHistoneModsC002Q1H1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002Q1	ERS164472	bpHistoneModsC002Q1H1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002Q1	ERS164472	bpHistoneModsC002Q1H1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002Q1	ERS164472	bpHistoneModsC002Q1H1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002TW	ERS164473	bpHistoneModsC002TWH1H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002TW	ERS164473	bpHistoneModsC002TWH1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002TW	ERS164473	bpHistoneModsC002TWH1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002TW	ERS164473	bpHistoneModsC002TWH1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002TW	ERS164473	bpHistoneModsC002TWH1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002TW	ERS164473	bpHistoneModsC002TWH1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002TW	ERS164473	bpHistoneModsC002TWH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002TW	ERS164474	bpHistoneModsC002TWH2H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002TW	ERS164474	bpHistoneModsC002TWH2H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002TW	ERS164474	bpHistoneModsC002TWH2H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002TW	ERS164474	bpHistoneModsC002TWH2H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002TW	ERS164474	bpHistoneModsC002TWH2H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002TW	ERS164474	bpHistoneModsC002TWH2InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002YM	ERS164475	bpHistoneModsC002YMH1H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002YM	ERS164475	bpHistoneModsC002YMH1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002YM	ERS164475	bpHistoneModsC002YMH1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002YM	ERS164475	bpHistoneModsC002YMH1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002YM	ERS164475	bpHistoneModsC002YMH1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002YM	ERS164475	bpHistoneModsC002YMH1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C002YM	ERS164475	bpHistoneModsC002YMH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00360	ERS206373	bpHistoneModsC00360H1H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00360	ERS206373	bpHistoneModsC00360H1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C003UQ	ERS206391	bpHistoneModsC003UQH1H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C003UQ	ERS206391	bpHistoneModsC003UQH1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C003UQ	ERS206391	bpHistoneModsC003UQH1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C003UQ	ERS206391	bpHistoneModsC003UQH1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C003UQ	ERS206391	bpHistoneModsC003UQH1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C003UQ	ERS206391	bpHistoneModsC003UQH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00408	ERS206434	bpHistoneModsC00408H2InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C004GD	ERS206477	bpHistoneModsC004GDH1H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C004GD	ERS206477	bpHistoneModsC004GDH1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C004GD	ERS206477	bpHistoneModsC004GDH1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C004GD	ERS206477	bpHistoneModsC004GDH1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C004GD	ERS206477	bpHistoneModsC004GDH1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C004GD	ERS206477	bpHistoneModsC004GDH1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C004GD	ERS206477	bpHistoneModsC004GDH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C004SQ	ERS202663	bpHistoneModsC004SQH1H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C004SQ	ERS202663	bpHistoneModsC004SQH1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C004SQ	ERS202663	bpHistoneModsC004SQH1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C004SQ	ERS202663	bpHistoneModsC004SQH1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C004SQ	ERS202663	bpHistoneModsC004SQH1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C004SQ	ERS202663	bpHistoneModsC004SQH1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C004SQ	ERS202663	bpHistoneModsC004SQH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00504	ERS206510	bpHistoneModsC00504H1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00504	ERS206510	bpHistoneModsC00504H1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00504	ERS206510	bpHistoneModsC00504H1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00504	ERS206510	bpHistoneModsC00504H1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C00504	ERS206510	bpHistoneModsC00504H1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0054X	ERS206512	bpHistoneModsC0054XH3H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0054X	ERS206512	bpHistoneModsC0054XH3H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0054X	ERS206512	bpHistoneModsC0054XH3H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0054X	ERS206512	bpHistoneModsC0054XH3InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005DF	ERS206539	bpHistoneModsC005DFH1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005DF	ERS206539	bpHistoneModsC005DFH1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005DF	ERS206539	bpHistoneModsC005DFH1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005DF	ERS206539	bpHistoneModsC005DFH1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005DF	ERS206539	bpHistoneModsC005DFH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005PS	ERS206567	bpHistoneModsC005PSH2H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005PS	ERS206567	bpHistoneModsC005PSH2H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005PS	ERS206567	bpHistoneModsC005PSH2H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005PS	ERS206567	bpHistoneModsC005PSH2H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005PS	ERS206567	bpHistoneModsC005PSH2H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005PS	ERS206567	bpHistoneModsC005PSH2H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005PS	ERS206567	bpHistoneModsC005PSH2InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005QQ	ERS206573	bpHistoneModsC005QQH1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005QQ	ERS206573	bpHistoneModsC005QQH1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005QQ	ERS206573	bpHistoneModsC005QQH1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005QQ	ERS206573	bpHistoneModsC005QQH1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005QQ	ERS206573	bpHistoneModsC005QQH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005VG	ERS206577	bpHistoneModsC005VGH1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005VG	ERS206577	bpHistoneModsC005VGH1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005VG	ERS206577	bpHistoneModsC005VGH1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005VG	ERS206577	bpHistoneModsC005VGH1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005VG	ERS206577	bpHistoneModsC005VGH1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C005VG	ERS206577	bpHistoneModsC005VGH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0062X	ERS206595	bpHistoneModsC0062XH1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0062X	ERS206595	bpHistoneModsC0062XH1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0062X	ERS206595	bpHistoneModsC0062XH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0066P	ERS206601	bpHistoneModsC0066PH1H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0066P	ERS206601	bpHistoneModsC0066PH1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0066P	ERS206601	bpHistoneModsC0066PH1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0066P	ERS206601	bpHistoneModsC0066PH1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0066P	ERS206601	bpHistoneModsC0066PH1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0066P	ERS206601	bpHistoneModsC0066PH1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0066P	ERS206601	bpHistoneModsC0066PH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C12012	ERS164466	bpHistoneModsC12012H1H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C12012	ERS164466	bpHistoneModsC12012H1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C12012	ERS164466	bpHistoneModsC12012H1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C12012	ERS164466	bpHistoneModsC12012H1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C12012	ERS164466	bpHistoneModsC12012H1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C12012	ERS164466	bpHistoneModsC12012H1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C12012	ERS164466	bpHistoneModsC12012H1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S000RD	ERS208290	bpHistoneModsS000RDH2H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S000RD	ERS208290	bpHistoneModsS000RDH2H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S000RD	ERS208290	bpHistoneModsS000RDH2H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S000RD	ERS208290	bpHistoneModsS000RDH2H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S000RD	ERS208290	bpHistoneModsS000RDH2H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S000RD	ERS208290	bpHistoneModsS000RDH2H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S000RD	ERS208290	bpHistoneModsS000RDH2InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0018A	ERS214725	bpHistoneModsS0018AH1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0018A	ERS214725	bpHistoneModsS0018AH1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0018A	ERS214725	bpHistoneModsS0018AH1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0018A	ERS214725	bpHistoneModsS0018AH1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0018A	ERS214725	bpHistoneModsS0018AH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0018A	ERS214737	bpHistoneModsS0018AH2H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0018A	ERS214737	bpHistoneModsS0018AH2H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0018A	ERS214737	bpHistoneModsS0018AH2H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0018A	ERS214737	bpHistoneModsS0018AH2InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S00198	ERS214744	bpHistoneModsS00198H2H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S00198	ERS214744	bpHistoneModsS00198H2H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S00198	ERS214744	bpHistoneModsS00198H2InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001MJ	ERS222273	bpHistoneModsS001MJH1H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001MJ	ERS222273	bpHistoneModsS001MJH1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001MJ	ERS222273	bpHistoneModsS001MJH1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001MJ	ERS222273	bpHistoneModsS001MJH1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001MJ	ERS222273	bpHistoneModsS001MJH1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001MJ	ERS222273	bpHistoneModsS001MJH1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001MJ	ERS222273	bpHistoneModsS001MJH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001S7	ERS222302	bpHistoneModsS001S7H1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001S7	ERS222302	bpHistoneModsS001S7H1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001S7	ERS222302	bpHistoneModsS001S7H1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001S7	ERS222302	bpHistoneModsS001S7H1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001S7	ERS222313	bpHistoneModsS001S7H2H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001S7	ERS222313	bpHistoneModsS001S7H2H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001S7	ERS222313	bpHistoneModsS001S7H2H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001S7	ERS222313	bpHistoneModsS001S7H2H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001S7	ERS222313	bpHistoneModsS001S7H2H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001S7	ERS222313	bpHistoneModsS001S7H2H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S001S7	ERS222313	bpHistoneModsS001S7H2InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0022I	ERS222371	bpHistoneModsS0022IH1H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0022I	ERS222371	bpHistoneModsS0022IH1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0022I	ERS222371	bpHistoneModsS0022IH1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0022I	ERS222371	bpHistoneModsS0022IH1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0022I	ERS222371	bpHistoneModsS0022IH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0022I	ERS222366	bpHistoneModsS0022IH2H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0022I	ERS222366	bpHistoneModsS0022IH2H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0022I	ERS222366	bpHistoneModsS0022IH2H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	S0022I	ERS222366	bpHistoneModsS0022IH2H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
