	View 	Donor 	Sample 	Track Name 	Species 	Consortium
	signal	C000S5	ERS150368	bpHistoneModsC000S5H1H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C000S5	ERS150368	bpHistoneModsC000S5H1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C000S5	ERS150368	bpHistoneModsC000S5H1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C000S5	ERS150368	bpHistoneModsC000S5H1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C000S5	ERS150368	bpHistoneModsC000S5H1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C000S5	ERS150368	bpHistoneModsC000S5H1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C000S5	ERS150368	bpHistoneModsC000S5H1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C000S5	ERS150369	bpHistoneModsC000S5H2H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C000S5	ERS150369	bpHistoneModsC000S5H2H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C000S5	ERS150369	bpHistoneModsC000S5H2H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C000S5	ERS150369	bpHistoneModsC000S5H2H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C000S5	ERS150369	bpHistoneModsC000S5H2H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C000S5	ERS150369	bpHistoneModsC000S5H2H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C000S5	ERS150369	bpHistoneModsC000S5H2InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0010K	ERS150390	bpHistoneModsC0010KH1H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0010K	ERS150390	bpHistoneModsC0010KH1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0010K	ERS150390	bpHistoneModsC0010KH1H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0010K	ERS150390	bpHistoneModsC0010KH1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0010K	ERS150390	bpHistoneModsC0010KH1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0010K	ERS150390	bpHistoneModsC0010KH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0010K	ERS150391	bpHistoneModsC0010KH2H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0010K	ERS150391	bpHistoneModsC0010KH2H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0010K	ERS150391	bpHistoneModsC0010KH2H3K36me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0010K	ERS150391	bpHistoneModsC0010KH2H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0010K	ERS150391	bpHistoneModsC0010KH2H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0010K	ERS150391	bpHistoneModsC0010KH2H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0010K	ERS150391	bpHistoneModsC0010KH2InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0011I	ERS150388	bpHistoneModsC0011IH1H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0011I	ERS150388	bpHistoneModsC0011IH1H3K27me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0011I	ERS150388	bpHistoneModsC0011IH1H3K4me1MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0011I	ERS150388	bpHistoneModsC0011IH1H3K4me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0011I	ERS150388	bpHistoneModsC0011IH1H3K9me3MACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0011I	ERS150388	bpHistoneModsC0011IH1InputMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
	signal	C0011I	ERS150389	bpHistoneModsC0011IH2H3K27acMACS2_wigglerEMBL-EBIwiggler	human	Blueprint
